"OIB"|"NAZIV"|"BR_ZAP_2022"|"AKTIVNOST"
"94517771016"|"DAVOR, limarski obrt, vl. Davor Kolobara, Kutina, Podravska ulica 1"||"aktivan"
"77780923892"|"RV CERAMIC j.d.o.o."|1|"aktivan"
"96264740552"|"Dea Design, obrt za dizajn, vl. Andrea Orsag Veg, Velika Gorica, Kralja Stjepana Tomaševiæa 17"||"aktivan"
"38075463150"|"ANÐEL, pekarsko-trgovaèki obrt, vl. Petrin Lekaj, Ðakovo, Matije Gupca 50"||"aktivan"
"76579355029"|"GB MONT j.d.o.o."||"aktivan"
"03196916150"|"SREÆA, obrt za autotaksi prijevoz, vl. Josip Josiæ, Dubrovnik, Koritska 26"||"aktivan"
"84535636672"|"NOUVEAU VISAGE d.o.o."|1|"aktivan"
"69495777111"|"TERANINO j.d.o.o."||"aktivan"
"86987666646"|"ODVJETNIÈKI URED OZREN TATARAC"||"aktivan"
"68670015693"|"CEPELIN MEDIA - SPALATO PLIN, obrt za usluge, vl. Milan Èoriæ, DICMO PRISOJE, Dicmo Prisoje 29B"||"aktivan"
"09381978215"|"Grbeša graðenje j.d.o.o."|1|"aktivan"
"38846145717"|"POWERSOFT d.o.o."|0|"aktivan"
"57993674442"|"KOFEIN d.o.o."|29|"aktivan"
"48572554994"|"SPARTAN PRO d.o.o."|1|"aktivan"
"80248888675"|"OBRT ZA UGOSTITELJSTVO 'CALSANTA', VL. MARTINA BENUSSI, ROVINJ, SVETOG KRIŽA 4"||"aktivan"
"50084380659"|"MIHO, Obrt za ostale završne graðevinske radove, vl. Miho Pavloviæ, Èelopeci, Lazine 22"||"aktivan"
"05701394207"|"AGENCIJA MT, obrt za organizaciju poslovnih i zabavnih dogaðaja, vl. Edita Šanoviæ Bolkoviæ, Pula, Krležina 27"||"aktivan"
"30004474604"|"TROTULA d.o.o."||"ugaÅ¡en"
"67518551231"|"OBRT ZA PRIJEVOZ ''TURKE'', DAMIR ŠTIMAC, KUŽELJ, TURKE 26"||"aktivan"
"63914995885"|"MILJOKAZ-PROJEKT, obrt za poslovno savjetovanje, Mario Protulipac, Karlovac, Banija 146"||"aktivan"
"64928872031"|"RI Marina Exclusive d.o.o."|0|"aktivan"
"62402090817"|"METALIKA, obrt za video usluge, vl. Vedran Franèula, Ližnjan, Ribarska ulica 6"||"aktivan"
"73755775457"|"ODVJETNIÈKI URED NATALIJA WEISS"||"aktivan"
"30656039900"|"ZMAJ, OBRT ZA ISTRAŽIVANJE TRŽIŠTA, POSREDOVANJE I PROMIDŽBU, VL. DANIJEL DVORSKI, LJUBEŠÆICA, ZAGREBAÈKA 67 B"||"aktivan"
"05066546900"|"SARTANA d.o.o."|1|"aktivan"
"42016852792"|"Lukabo Marketing d.o.o."|1|"aktivan"
"43496259355"|"R2, obrt za knjigovodstvene usluge, vl. Krešimir Rastovski, Karlovac, Trg Josipa Broza 4"||"aktivan"
"39322881188"|"MIR ŠIBENIK d.o.o."|0|"nepoznato"
"76456616763"|"OLEANDAR, obrt za èišæenje, vl. Vlasta Božac, Pula, Prilaz Pjacal 9"||"aktivan"
"95280509843"|"MORE IDEA d. o. o."|5|"aktivan"
